Test ID,Number Hops,Bytes Transferred (GB),Throughput (Mbps)
1,2,2.85,490.0
1,4,1.93,331.0
1,6,1.67,287.0
1,9,1.82,312.0
2,2,2.83,485.0
2,4,1.82,313.0
2,6,1.79,308.0
2,9,1.7,292.0
2,9,1.59,274.0
3,2,2.81,482.0
3,4,1.77,303.0
3,6,1.56,269.0
3,9,1.48,254.0
3,9,1.46,251.0
4,2,2.84,487.0
4,4,1.62,278.0
4,6,1.56,267.0
4,9,1.57,269.0
4,9,1.66,285.0
5,2,2.81,483.0
5,4,1.67,287.0
5,6,1.81,311.0
5,9,1.57,270.0
5,9,1.51,260.0
6,2,2.77,475.0
6,4,1.74,299.0
6,6,1.8,309.0
6,9,1.61,277.0
6,9,1.63,280.0
7,2,2.77,476.0
7,4,1.61,277.0
7,6,1.84,316.0
7,9,1.64,281.0
7,9,1.62,279.0
8,2,2.87,493.0
8,4,1.77,304.0
8,6,1.67,287.0
8,9,1.62,278.0
8,9,1.71,293.0
9,2,2.83,486.0
9,4,1.5,258.0
9,6,1.69,290.0
9,9,1.58,272.0
9,9,1.69,290.0
10,2,2.81,483.0
10,4,1.54,265.0
10,6,1.77,304.0
10,9,1.44,248.0
10,9,1.61,277.0
11,2,2.8,481.0
11,4,1.71,293.0
11,6,1.62,278.0
11,9,1.55,266.0
11,9,1.43,246.0
12,2,2.83,486.0
12,4,1.62,279.0
12,6,1.65,284.0
12,9,1.67,288.0
12,9,1.71,294.0
13,2,2.84,489.0
13,4,1.65,283.0
13,6,1.73,297.0
13,9,1.42,245.0
13,9,1.59,273.0
14,2,2.79,480.0
14,4,1.83,315.0
14,6,1.74,298.0
14,9,1.53,263.0
14,9,1.5,257.0
15,2,2.77,475.0
15,4,1.61,276.0
15,6,1.63,281.0
15,9,1.6,275.0
15,9,1.45,249.0
16,2,2.83,486.0
16,4,1.76,303.0
16,6,1.79,307.0
16,9,1.34,230.0
16,9,1.69,290.0
17,2,2.83,486.0
17,4,1.76,303.0
17,6,1.7,292.0
17,9,1.69,291.0
17,9,1.48,254.0
18,2,2.82,485.0
18,4,1.69,290.0
18,6,1.84,316.0
18,9,1.52,261.0
18,9,1.53,263.0
19,2,2.83,486.0
19,4,1.88,323.0
19,6,1.93,331.0
19,9,1.63,281.0
19,9,1.51,259.0
20,2,2.78,478.0
20,4,1.49,256.0
20,6,1.73,297.0
20,9,1.52,261.0
20,9,1.57,271.0
