Test ID,Number Hops,Initial Ping (Max),Initial Ping (Min),Initial Ping (Avg),Initial Ping (Dev),Steady Ping (Max),Steady Ping (Min),Steady Ping (Avg),Steady Ping (Dev)
1,2,3.172,0.401,1.016,1.083,0.768,0.342,0.582,0.115
1,4,31.726,1.805,13.254,10.022,20.097,1.024,6.862,6.543
1,6,31.604,3.29,16.203,9.71,18.485,2.356,6.609,4.356
1,9,67.206,5.709,26.525,23.014,36.033,1.988,10.283,8.002
1,9,57.806,5.184,28.461,19.734,33.374,2.887,9.877,7.763
2,2,2.891,0.519,1.087,0.904,0.896,0.361,0.598,0.125
2,4,33.212,1.554,16.699,11.151,24.603,0.964,6.873,7.132
2,6,27.885,2.966,16.13,10.587,19.2,1.869,7.193,5.426
2,9,59.341,5.669,24.937,19.077,24.142,2.019,9.975,7.251
2,9,58.951,3.887,22.778,20.77,46.036,2.281,10.776,10.622
3,2,3.882,0.381,1.198,1.347,0.736,0.347,0.6,0.102
3,4,35.715,1.787,16.71,12.042,35.461,0.964,6.289,9.439
3,6,29.948,3.317,18.297,10.18,19.246,1.917,6.948,4.845
3,9,59.984,6.112,31.063,21.263,36.628,3.603,10.67,10.181
3,9,60.182,8.0,26.72,17.809,27.977,2.621,9.304,7.013
4,2,3.197,0.425,1.099,1.052,0.75,0.349,0.622,0.106
4,4,34.03,3.174,16.293,10.682,19.486,0.953,6.098,6.155
4,6,31.736,3.64,15.497,11.361,19.043,2.614,6.777,4.496
4,9,57.849,7.543,27.765,17.221,40.734,2.991,10.908,11.452
4,9,55.132,5.387,26.548,21.165,53.09,2.636,11.132,10.46
5,2,3.455,0.46,1.151,1.155,0.829,0.377,0.604,0.131
5,4,34.668,1.588,16.479,11.891,28.588,0.916,6.42,9.331
5,6,29.064,3.282,15.984,9.974,21.524,1.565,6.867,5.515
5,9,61.429,11.12,28.818,17.861,36.404,3.056,10.254,7.967
5,9,62.944,7.127,29.235,23.885,55.634,2.041,10.49,10.138
6,2,3.472,0.431,1.131,1.173,1.327,0.335,0.588,0.149
6,4,35.678,3.781,17.318,11.075,19.141,1.169,6.428,6.23
6,6,31.194,3.665,20.893,10.041,27.342,2.049,6.734,7.095
6,9,59.06,2.725,26.421,18.775,28.983,2.897,10.216,7.148
6,9,63.509,2.832,23.204,21.883,42.117,2.758,10.338,8.401
7,2,3.25,0.493,1.558,1.185,0.879,0.351,0.599,0.126
7,4,34.707,1.148,16.156,12.369,21.026,0.964,6.935,6.782
7,6,30.731,3.743,15.492,10.709,25.958,1.849,6.927,7.493
7,9,59.693,5.287,27.491,18.072,25.931,2.883,10.768,7.74
7,9,56.551,3.738,22.303,19.656,34.036,3.156,10.287,7.676
8,2,3.469,0.488,1.185,1.143,0.81,0.343,0.594,0.116
8,4,35.293,1.469,16.715,11.455,25.179,1.202,6.706,6.821
8,6,36.597,2.198,17.639,13.23,18.639,2.375,7.31,4.916
8,9,59.251,4.825,25.314,18.913,28.94,2.944,10.447,7.247
8,9,63.62,4.68,22.523,21.846,37.162,3.048,10.396,11.0
9,2,3.344,0.422,1.122,1.113,0.748,0.343,0.591,0.097
9,4,34.423,1.053,12.344,11.445,21.519,1.319,6.902,6.766
9,6,30.528,3.293,18.153,8.728,19.59,1.483,6.926,5.21
9,9,59.122,7.698,26.136,18.334,27.229,3.778,10.297,6.897
9,9,62.781,4.726,25.12,21.554,45.056,3.132,10.781,9.357
10,2,2.872,0.476,0.998,0.938,0.897,0.33,0.61,0.13
10,4,33.879,2.086,15.596,11.258,378.999,1.291,14.037,52.927
10,6,31.334,3.264,18.42,11.017,33.729,1.935,6.877,7.27
10,9,56.756,6.928,29.146,17.299,30.09,1.833,9.791,7.828
10,9,67.836,4.506,27.729,22.351,29.005,2.638,9.833,7.433
11,2,3.424,0.424,1.137,1.148,0.706,0.34,0.591,0.095
11,4,36.119,1.624,16.807,12.05,26.377,0.987,6.512,7.007
11,6,29.13,3.031,15.532,11.052,19.378,1.877,7.088,5.176
11,9,57.493,1.969,23.632,20.116,28.914,1.951,10.47,7.721
11,9,61.189,5.565,24.581,19.481,27.982,2.272,9.775,7.499
12,2,3.077,0.51,1.098,0.99,0.737,0.34,0.594,0.109
12,4,34.752,4.014,16.826,10.951,21.853,1.037,6.198,6.642
