Test ID,Number Hops,Pass Number,Hypervisor Ping (Max),Hypervisor Ping (Min),Hypervisor Ping (Avg),Hypervisor Ping (Dev),Hypervisor Drops,VM Ping (Max),VM Ping (Min),VM Ping (Avg),VM Ping (Dev),VM Drops
1,2,1,0.994,0.103,0.489,0.298,15,6.534,0.101,0.372,0.682
1,2,2,29.013,0.105,4.088,8.975,0,27.358,0.089,3.864,8.658
2,2,1,1.025,0.1,0.463,0.274,1,3.457,0.101,0.489,0.405
2,2,2,30.448,0.097,4.17,9.204,0,33.522,0.094,4.151,9.359
3,2,1,0.93,0.107,0.45,0.265,1,4.112,0.094,0.471,0.458
3,2,2,38.891,0.101,4.525,10.143,0,37.822,0.088,4.24,9.57
4,2,1,0.846,0.101,0.409,0.241,1,3.387,0.095,0.445,0.397
4,2,2,33.916,0.1,4.352,9.656,0,54.363,0.086,4.418,10.381
5,2,1,0.881,0.104,0.493,0.277,2,3.298,0.103,0.427,0.382
5,2,2,39.132,0.103,4.334,9.751,1,31.067,0.099,4.097,9.201
6,2,1,0.875,0.106,0.427,0.237,2,3.673,0.094,0.504,0.428
6,2,2,33.08,0.101,4.356,9.662,0,30.549,0.097,3.992,8.948
7,2,1,0.986,0.102,0.47,0.268,1,3.399,0.1,0.465,0.394
7,2,2,36.914,0.099,4.349,9.613,0,30.934,0.095,3.938,8.979
8,2,1,0.806,0.106,0.436,0.242,0,3.42,0.104,0.528,0.41
8,2,2,36.231,0.099,4.298,9.886,1,37.121,0.097,4.512,10.163
9,2,1,0.889,0.099,0.449,0.258,1,3.45,0.096,0.481,0.398
9,2,2,33.293,0.1,4.429,9.874,0,31.201,0.089,4.347,9.839
10,2,1,0.844,0.1,0.37,0.197,1,3.846,0.097,0.544,0.446
10,2,2,39.068,0.097,4.854,10.308,0,38.322,0.091,4.871,10.711
1,4,1,19.656,0.11,1.31,2.085,5,4.574,0.104,0.767,0.669
1,4,2,42.714,0.105,7.634,13.975,1,47.86,0.092,7.266,13.826
2,4,1,5.308,0.103,1.193,0.969,2,13.357,0.093,0.821,1.352
2,4,2,39.08,0.098,7.269,13.226,0,59.056,0.092,7.082,14.077
3,4,1,5.888,0.114,1.29,1.039,2,10.396,0.094,0.938,1.163
3,4,2,59.049,0.099,7.715,14.727,1,40.654,0.095,6.988,13.55
4,4,1,5.585,0.117,1.242,1.003,1,12.248,0.092,1.078,1.346
4,4,2,51.169,0.1,8.06,14.818,0,47.872,0.094,7.337,14.302
5,4,1,5.435,0.099,1.297,1.033,1,11.739,0.103,0.965,1.247
5,4,2,39.503,0.102,6.747,12.494,1,42.656,0.092,6.196,12.168
6,4,1,5.248,0.102,1.164,0.951,2,11.341,0.092,1.116,1.306
6,4,2,48.458,0.1,7.786,14.694,1,49.578,0.091,7.259,14.273
7,4,1,5.144,0.107,1.166,0.941,1,12.739,0.095,0.881,1.324
7,4,2,50.199,0.106,7.442,13.691,0,53.304,0.095,6.68,13.428
8,4,1,5.297,0.1,1.133,0.925,1,12.76,0.101,0.929,1.331
8,4,2,39.605,0.103,7.354,13.275,0,47.478,0.095,7.128,13.967
9,4,1,5.656,0.103,1.191,0.992,2,11.058,0.101,0.909,1.186
9,4,2,65.039,0.106,6.995,13.353,1,44.801,0.092,6.16,12.001
10,4,1,5.553,0.105,1.247,1.019,1,11.58,0.093,0.954,1.247
10,4,2,45.463,0.107,7.127,13.408,1,40.571,0.087,6.681,13.03
1,9,1,24.566,0.101,0.978,3.122,39,33.101,0.1,1.715,4.368
1,9,2,48.383,0.098,8.235,14.944,0,59.687,0.093,9.033,15.429
2,9,1,16.919,0.113,2.658,2.647,1,37.796,0.092,1.609,4.687
2,9,2,55.055,0.1,7.516,13.899,1,47.13,0.089,7.595,12.952
3,9,1,17.278,0.106,2.748,2.632,1,40.242,0.094,2.732,4.314
3,9,2,43.636,0.11,7.198,13.265,0,53.797,0.091,8.107,13.671
4,9,1,12.002,0.11,2.08,1.87,0,32.587,0.099,3.115,3.806
4,9,2,58.137,0.102,8.463,15.199,0,57.176,0.095,7.461,12.764
5,9,1,17.189,0.1,2.89,2.733,1,38.54,0.095,2.077,3.951
5,9,2,59.548,0.116,7.532,14.052,0,61.803,0.095,7.502,12.889
6,9,1,15.521,0.104,2.753,2.576,1,33.319,0.092,2.08,3.5
6,9,2,45.065,0.102,7.117,13.314,1,49.292,0.085,7.854,13.683
7,9,1,14.972,0.101,2.734,2.551,1,36.471,0.101,2.14,3.83
7,9,2,53.91,0.104,8.683,15.462,0,50.113,0.085,9.554,15.557
8,9,1,15.874,0.103,2.406,2.539,1,37.113,0.094,1.834,3.879
8,9,2,164.861,0.118,9.85,21.754,1,52.512,0.095,8.744,15.296
9,9,1,16.023,0.111,2.835,2.603,1,36.356,0.091,3.039,4.103
9,9,2,447.961,0.1,13.473,46.629,0,69.441,0.098,9.858,17.198
10,9,1,11.009,0.102,1.154,1.345,1,32.355,0.105,3.079,3.891
10,9,2,56.37,0.1,9.316,15.793,4,61.403,0.092,9.259,16.485
1,6,1,26.498,0.106,1.789,3.289,27,9.39,0.104,0.898,1.254
1,6,2,37.678,0.101,6.29,11.784,0,44.33,0.088,6.64,11.939
2,6,1,17.715,0.108,1.988,2.183,1,20.42,0.086,1.208,2.102
2,6,2,42.873,0.102,6.916,12.818,1,51.347,0.092,7.14,13.35
3,6,1,16.69,0.101,2.079,2.163,1,19.848,0.096,1.213,2.033
3,6,2,43.613,0.101,6.595,12.437,0,231.504,0.09,9.199,25.523
4,6,1,13.816,0.106,2.005,1.96,1,20.25,0.093,1.221,2.074
4,6,2,53.674,0.103,7.416,14.596,1,58.13,0.092,7.551,13.783
5,6,1,16.053,0.1,1.983,2.075,1,19.825,0.094,1.134,2.019
5,6,2,55.774,0.105,8.162,14.743,1,51.802,0.084,7.436,14.495
6,6,1,2.373,0.107,0.997,0.779,1,25.442,0.104,2.227,3.05
6,6,2,38.143,0.105,6.28,12.084,1,42.216,0.089,6.556,11.569
7,6,1,15.627,0.106,1.981,2.029,1,18.893,0.104,1.371,1.999
7,6,2,40.662,0.101,6.291,11.975,1,38.938,0.087,6.687,12.084
8,6,1,15.821,0.11,1.954,2.013,0,20.952,0.105,2.142,2.529
8,6,2,47.087,0.101,6.42,12.271,1,50.025,0.092,6.107,10.71
9,6,1,18.056,0.101,1.803,2.31,1,21.35,0.098,1.573,2.487
9,6,2,53.565,0.103,6.796,12.922,0,54.768,0.087,7.19,12.788
10,6,1,15.057,0.099,2.211,2.113,1,19.9,0.102,1.713,2.185
10,6,2,41.046,0.102,6.873,13.276,2,45.814,0.098,7.329,13.172
1,9,1,13.397,0.106,2.732,2.455,2,39.801,0.108,2.515,4.218
1,9,2,50.435,0.103,8.02,14.543,1,54.467,0.087,8.285,14.5
2,9,1,21.774,0.11,2.843,2.918,1,36.856,0.094,2.754,3.981
2,9,2,42.82,0.103,7.139,12.871,0,41.081,0.092,7.1,12.028
3,9,1,20.081,0.115,2.788,2.811,1,32.69,0.086,2.604,3.6
3,9,2,48.337,0.104,7.848,14.228,1,45.79,0.086,7.785,13.372
4,9,1,6.879,0.108,1.677,1.444,1,33.495,0.092,2.997,4.106
4,9,2,39.847,0.105,7.028,12.71,1,39.76,0.09,8.042,13.442
5,9,1,19.574,0.099,2.7,2.721,1,31.877,0.096,2.391,3.416
5,9,2,42.641,0.106,6.754,12.333,1,55.405,0.093,7.138,12.626
6,9,1,2.536,0.058,0.165,0.242,0,1.012,0.101,0.142,0.095
6,9,2,0.235,0.062,0.128,0.026,0,0.211,0.095,0.112,0.016
7,9,1,2.482,0.069,0.143,0.236,0,0.403,0.1,0.133,0.045
7,9,2,0.186,0.048,0.131,0.027,0,0.273,0.091,0.114,0.025
8,9,1,0.213,0.049,0.131,0.029,0,0.185,0.096,0.113,0.015
