test_id,number_hops,initial_ping_max,initial_ping_min,initial_ping_avg,initial_ping_dev,steady_ping_max,steady_ping_min,steady_ping_avg,steady_ping_dev
1,2,3.676,0.479,1.198,1.241,0.71,0.432,0.615,0.078
1,4,12.388,1.52,4.58,4.18,1.857,1.086,1.531,0.203
1,6,21.116,2.317,9.651,7.806,3.213,1.716,2.61,0.331
1,9,40.299,4.769,17.61,13.631,6.599,1.733,4.396,1.385
1,9,38.901,5.226,15.583,13.013,5.88,2.821,5.012,0.788
2,2,3.453,0.4,1.11,1.175,0.835,0.426,0.617,0.088
2,4,13.187,1.714,4.706,4.442,1.843,1.206,1.6,0.164
2,6,23.928,2.102,9.256,8.77,3.051,1.675,2.519,0.352
2,9,36.948,2.554,15.909,13.728,6.432,1.959,4.698,1.32
2,9,36.922,4.913,15.11,12.882,6.15,2.883,5.082,0.879
3,2,3.558,0.62,1.233,1.163,0.759,0.414,0.597,0.103
3,4,12.754,1.509,4.592,4.305,1.914,1.202,1.598,0.166
3,6,19.622,2.546,8.854,7.667,2.98,1.355,2.337,0.413
3,9,43.64,5.317,18.495,14.96,6.361,4.197,5.462,0.591
3,9,38.084,4.929,15.709,12.946,6.148,2.706,5.066,0.786
4,2,3.747,0.446,1.241,1.256,0.744,0.391,0.582,0.11
4,4,12.852,1.481,4.664,4.33,1.809,1.227,1.592,0.143
4,6,21.363,2.695,8.992,7.795,3.442,1.495,2.367,0.432
4,9,43.917,4.111,18.355,14.951,6.475,2.569,5.483,0.821
4,9,35.571,3.86,15.031,12.364,6.349,2.726,4.909,0.983
5,2,3.596,0.455,1.161,1.22,0.805,0.375,0.575,0.11
5,4,14.224,1.05,4.768,4.956,1.813,0.982,1.591,0.219
5,6,21.172,1.615,8.203,8.133,3.112,1.737,2.499,0.327
5,9,38.253,2.974,17.302,13.896,6.341,2.188,4.966,1.12
5,9,37.668,5.227,15.89,12.792,5.873,2.978,4.785,1.015
6,2,3.797,0.541,1.247,1.276,0.739,0.389,0.584,0.101
6,4,13.235,1.471,4.599,4.513,1.811,0.944,1.482,0.26
6,6,20.574,2.309,8.574,7.595,3.03,1.721,2.605,0.339
6,9,41.338,4.708,17.956,14.184,8.685,2.718,5.477,1.137
6,9,38.983,5.452,16.208,13.163,5.849,3.098,4.948,0.829
7,2,4.012,0.468,1.263,1.375,0.707,0.352,0.605,0.092
7,4,12.481,1.566,4.621,4.248,1.934,1.005,1.48,0.24
7,6,22.107,1.957,9.028,8.169,3.011,1.834,2.537,0.325
7,9,39.33,4.31,17.473,13.411,6.391,2.601,5.076,0.915
7,9,38.476,4.865,15.659,12.998,5.92,3.152,4.97,0.881
8,2,3.429,0.52,1.188,1.122,0.753,0.408,0.614,0.09
8,4,14.982,1.422,6.382,6.071,1.842,1.069,1.499,0.196
8,6,22.209,2.192,9.443,8.571,3.0,1.695,2.487,0.348
8,9,37.027,3.917,17.129,13.132,6.373,2.7,4.94,1.182
8,9,36.324,5.214,15.644,12.356,5.93,2.165,5.283,0.738
9,2,4.078,0.415,1.256,1.415,0.717,0.404,0.583,0.101
9,4,12.814,1.519,4.535,4.317,1.905,1.245,1.584,0.175
9,6,21.831,1.922,9.185,8.294,3.005,1.914,2.579,0.327
9,9,41.255,4.668,18.097,14.142,6.393,2.61,5.016,1.064
9,9,47.164,5.624,17.971,16.051,5.941,2.626,5.149,0.786
10,2,3.467,0.612,1.198,1.134,0.708,0.352,0.557,0.097
10,4,12.18,1.496,4.489,4.091,1.874,1.306,1.609,0.144
10,6,21.098,2.352,8.852,8.036,3.548,1.837,2.7,0.358
10,9,39.932,2.701,17.312,14.031,6.58,3.355,5.149,0.784
10,9,37.315,5.296,15.241,12.782,11.132,1.847,4.476,1.59
11,2,3.454,0.49,1.181,1.138,0.703,0.353,0.577,0.106
11,4,12.524,1.709,4.579,4.186,1.796,1.213,1.53,0.139
11,6,21.014,2.62,8.734,7.573,3.01,1.988,2.539,0.279
11,9,42.117,4.711,18.875,14.236,6.525,2.879,5.185,0.889
11,9,38.597,3.515,15.678,13.516,6.5,1.828,4.702,1.31
12,2,3.938,0.528,1.301,1.32,0.74,0.377,0.579,0.108
12,4,13.901,1.702,4.906,4.696,1.989,1.225,1.582,0.176
12,6,20.487,2.569,8.718,7.654,2.939,1.676,2.512,0.344
12,9,40.576,5.407,18.793,13.659,6.385,3.237,4.961,0.949
12,9,35.864,2.657,13.951,13.438,6.445,2.847,4.908,0.964
13,2,3.881,0.496,1.266,1.31,0.716,0.38,0.561,0.101
13,4,12.281,1.285,4.48,4.169,1.822,1.143,1.599,0.157
13,6,21.463,2.423,8.996,7.791,3.429,1.741,2.547,0.343
13,9,43.316,4.652,18.724,15.116,6.615,2.195,4.531,1.405
13,9,39.077,4.918,15.851,13.245,6.185,2.787,5.041,0.851
14,2,3.722,0.412,1.186,1.271,0.705,0.402,0.551,0.1
14,4,12.696,1.344,4.573,4.333,2.018,1.038,1.626,0.197
14,6,21.719,2.331,8.882,8.02,3.167,1.792,2.542,0.35
14,9,42.28,5.046,18.516,14.308,6.487,1.8,4.436,1.358
