test_id,number_hops,initial_ping_max,initial_ping_min,initial_ping_avg,initial_ping_dev,steady_ping_max,steady_ping_min,steady_ping_avg,steady_ping_dev
1,2,21.438,0.461,4.755,8.341,0.705,0.408,0.605,0.092
1,4,44.222,1.903,10.459,16.881,2.225,1.014,1.846,0.337
1,6,71.021,1.981,16.239,27.395,3.219,1.328,2.7,0.474
1,9,114.45,2.633,26.541,43.969,5.886,1.489,4.325,1.441
1,9,120.694,3.354,27.224,46.736,4.548,1.618,3.817,0.71
2,2,15.534,0.387,3.542,5.997,0.729,0.371,0.592,0.097
2,4,44.053,1.936,10.408,16.822,2.268,1.089,1.889,0.318
2,6,68.875,1.155,15.267,26.811,3.242,1.916,2.712,0.39
2,9,119.427,2.536,27.856,45.802,6.292,1.601,4.46,1.504
2,9,106.772,2.405,24.28,41.251,4.556,2.11,3.912,0.618
3,2,16.914,0.431,3.833,6.541,0.705,0.398,0.614,0.083
3,4,43.816,1.913,10.33,16.743,2.14,0.872,1.751,0.355
3,6,68.722,2.045,15.774,26.477,3.163,1.528,2.688,0.487
3,9,115.894,3.391,27.148,44.383,6.324,1.808,4.6,1.37
3,9,115.222,1.469,25.275,44.984,4.673,2.964,4.103,0.365
4,2,19.984,0.45,4.492,7.746,0.748,0.392,0.586,0.095
4,4,44.188,1.369,10.334,16.929,2.082,1.008,1.574,0.368
4,6,68.897,1.482,15.689,26.614,3.383,1.367,2.532,0.53
4,9,120.292,5.685,28.657,45.817,6.263,2.215,4.773,1.271
4,9,110.523,1.689,24.552,42.995,4.537,2.578,4.094,0.398
5,2,15.93,0.634,3.72,6.105,0.723,0.366,0.551,0.107
5,4,43.904,1.013,9.698,17.103,2.244,1.044,1.799,0.32
5,6,68.217,1.927,15.539,26.34,3.293,1.292,2.473,0.598
5,9,118.343,5.138,28.012,45.166,6.157,1.917,4.864,1.321
5,9,104.055,1.861,23.337,40.366,4.768,2.085,3.877,0.707
6,2,17.212,0.417,3.9,6.656,0.715,0.392,0.565,0.096
6,4,44.976,1.289,10.311,17.334,2.302,1.177,1.911,0.235
6,6,65.272,1.286,14.913,25.188,34.246,1.478,3.166,4.473
6,9,119.955,5.076,28.461,45.747,5.981,2.091,5.038,1.179
6,9,117.29,2.741,26.45,45.423,4.526,2.023,3.8,0.771
7,2,16.569,0.476,3.805,6.382,0.738,0.376,0.58,0.1
7,4,39.728,1.305,9.393,15.169,2.147,1.375,1.936,0.162
7,6,71.138,1.901,16.416,27.364,3.228,1.412,2.598,0.555
7,9,115.179,3.847,27.219,43.985,6.258,2.62,5.143,0.837
7,9,106.749,2.063,23.715,41.525,4.769,1.826,3.678,0.845
